1993	1	42	38
1993	2	21	20
1993	3	21	19
1993	4	23	21
1993	5	28	26
1993	6	48	34
1993	7	72	49
1993	8	86	58
1993	9	118	82
1993	10	105	73
1993	11	116	76
1993	12	58	43
1994	1	65	45
1994	2	34	24
1994	3	43	32
1994	4	35	30
1994	5	46	40
1994	6	58	44
1994	7	80	54
1994	8	120	81
1994	9	99	74
1994	10	100	61
1994	11	98	70
1994	12	59	42
1995	1	60	44
1995	2	34	31
1995	3	36	28
1995	4	29	27
1995	5	38	33
1995	6	49	38
1995	7	85	52
1995	8	81	59
1995	9	96	69
1995	10	112	75
1995	11	86	66
1995	12	70	49
1996	1	47	35
1996	2	30	19
1996	3	24	18
1996	4	24	17
1996	5	27	24
1996	6	31	22
1996	7	38	32
1996	8	50	34
1996	9	65	51
1996	10	53	43
1996	11	49	39
1996	12	47	33
1997	1	32	26
1997	2	16	10
1997	3	18	17
1997	4	17	14
1997	5	17	13
1997	6	34	27
1997	7	41	27
1997	8	45	36
1997	9	90	64
1997	10	105	68
1997	11	99	56
1997	12	61	40
1998	1	30	22
1998	2	11	9
1998	3	26	18
1998	4	19	18
1998	5	16	13
1998	6	22	20
1998	7	45	34
1998	8	46	32
1998	9	76	57
1998	10	83	60
1998	11	58	35
1998	12	44	36
1999	1	19	16
1999	2	23	19
1999	3	29	23
1999	4	27	22
1999	5	31	29
1999	6	37	29
1999	7	24	20
1999	8	44	31
1999	9	86	68
1999	10	109	82
1999	11	96	65
1999	12	55	41
2000	1	42	34
2000	2	32	28
2000	3	26	19
2000	4	17	15
2000	5	32	26
2000	6	42	39
2000	7	59	47
2000	8	87	67
2000	9	146	107
2000	10	180	125
2000	11	135	101
2000	12	66	46
2002	1	54	44
2002	2	29	25
2002	3	30	28
2002	4	50	40
2002	5	43	39
2002	6	64	54
2002	7	61	48
2002	8	106	83
2002	9	168	121
2002	10	161	114
2002	11	115	82
2002	12	89	73
2003	1	61	58
2003	2	59	55
2003	3	60	60
2003	4	54	54
2003	5	58	56
2003	6	101	97
2003	7	110	99
2003	8	101	94
2003	9	156	146
2003	10	175	164
2003	11	107	103
2003	12	68	62
2004	1	53	51
2004	2	52	52
2004	3	48	46
2004	4	56	53
2004	5	62	60
2004	6	55	54
2004	7	58	57
2004	8	66	63
2004	9	103	100
2004	10	89	88
2004	11	100	95
2004	12	46	46
2005	1	35	34
2005	2	36	35
2005	3	35	35
2005	4	45	44
2005	5	43	41
2005	6	32	30
2005	7	49	46
2005	8	83	77
2005	9	66	64
2005	10	95	89
2005	11	92	89
2005	12	53	51
2006	1	45	42
2006	2	35	32
2006	3	36	34
2006	4	41	37
2006	5	36	31
2006	6	30	28
2006	7	22	21
2006	8	42	36
2006	9	60	51
2006	10	87	74
2006	11	74	62
2006	12	32	29
2007	1	42	33
2007	2	32	30
2007	3	27	25
2007	4	17	17
2007	5	32	29
2007	6	27	25
2007	7	33	30
2007	8	47	37
2007	9	51	44
2007	10	53	47
2007	11	34	28
2007	12	33	28
2008	1	38	27
2008	2	27	21
2008	3	31	20
2008	4	29	21
2008	5	22	22
2008	6	26	20
2008	7	31	30
2008	8	36	34
2008	9	53	43
2008	10	44	38
2008	11	53	47
2008	12	58	52
2009	1	45	39
2009	2	37	30
2009	3	38	31
2009	4	26	26
2009	5	40	34
2009	6	54	40
2009	7	46	40
2009	8	47	43
2009	9	64	53
2009	10	84	69
2009	11	67	55
2009	12	67	58
2010	1	49	44
2010	2	44	41
2010	3	42	38
2010	4	47	39
2010	5	58	47
2010	6	39	36
2010	7	61	56
2010	8	61	50
2010	9	77	71
2010	10	76	61
2010	11	60	44
2010	12	56	48
2011	1	40	35
2011	2	34	32
2011	3	33	31
2011	4	34	33
2011	5	25	25
2011	6	35	32
2011	7	30	25
2011	8	49	41
2011	9	65	54
2011	10	60	54
2011	11	73	54
2011	12	41	35
2012	1	33	30
2012	2	24	21
2012	3	34	31
2012	4	27	24
2012	5	30	27
2012	6	24	23
2012	7	21	18
2012	8	21	19
2012	9	53	43
2012	10	36	35
2012	11	41	32
2012	12	28	27
2013	1	31	29
2013	2	23	21
2013	3	25	22
2013	4	36	31
2013	5	26	25
2013	6	23	20
2013	7	25	20
2013	8	35	31
2013	9	52	45
2013	10	48	42
2013	11	59	51
2013	12	48	39
2014	1	29	26
2014	2	25	23
2014	3	16	16
2014	4	14	13
2014	5	20	18
2014	6	20	19
2014	7	21	20
2014	8	31	29
2014	9	36	32
2014	10	37	34
2014	11	23	19
2014	12	25	23




