1999	1	115	1
1999	2	145	2
1999	3	229	3
1999	4	199	4
1999	5	191	5
1999	6	153	6
1999	7	138	7
1999	8	97	8
1999	9	113	9
1999	10	126	10
1999	11	203	11
1999	12	174	12
2000	1	139	13
2000	2	114	14
2000	3	164	15
2000	4	184	16
2000	5	190	17
2000	6	143	18
2000	7	121	19
2000	8	94	20
2000	9	114	21
2000	10	157	22
2000	11	199	23
2000	12	143	24
2002	1	142	25
2002	2	102	26
2002	3	113	27
2002	4	153	28
2002	5	128	29
2002	6	102	30
2002	7	119	31
2002	8	120	32
2002	9	111	33
2002	10	111	34
2002	11	142	35
2002	12	118	36
2003	1	139	37
2003	2	139	38
2003	3	124	39
2003	4	144	40
2003	5	149	41
2003	6	119	42
2003	7	152	43
2003	8	107	44
2003	9	133	45
2003	10	157	46
2003	11	166	47
2003	12	155	48
2004	1	156	49
2004	2	126	50
2004	3	206	51
2004	4	194	52
2004	5	149	53
2004	6	172	54
2004	7	131	55
2004	8	119	56
2004	9	188	57
2004	10	155	58
2004	11	197	59
2004	12	183	60
2005	1	116	61
2005	2	143	62
2005	3	224	63
2005	4	201	64
2005	5	183	65
2005	6	166	66
2005	7	109	67
2005	8	125	68
2005	9	128	69
2005	10	156	70
2005	11	182	71
2005	12	170	72
2006	1	130	73
2006	2	158	74
2006	3	248	75
2006	4	218	76
2006	5	221	77
2006	6	189	78
2006	7	152	79
2006	8	169	80
2006	9	160	81
2006	10	188	82
2006	11	218	83
2006	12	163	84
2007	1	193	85
2007	2	183	86
2007	3	210	87
2007	4	176	88
2007	5	175	89
2007	6	147	90
2007	7	160	91
2007	8	157	92
2007	9	136	93
2007	10	142	94
2007	11	190	95
2007	12	163	96
2008	1	138	97
2008	2	172	98
2008	3	217	99
2008	4	204	100
2008	5	191	101
2008	6	173	102
2008	7	182	103
2008	8	193	104
2008	9	244	105
2008	10	208	106
2008	11	215	107
2008	12	213	108
2009	1	203	109
2009	2	167	110
2009	3	195	111
2009	4	214	112
2009	5	201	113
2009	6	209	114
2009	7	189	115
2009	8	181	116
2009	9	220	117
2009	10	207	118
2009	11	181	119
2009	12	192	120
2010	1	201	121
2010	2	167	122
2010	3	248	123
2010	4	227	124
2010	5	201	125
2010	6	184	126
2010	7	198	127
2010	8	201	128
2010	9	223	129
2010	10	119	130
2010	11	128	131
2010	12	139	132
2011	1	125	133
2011	2	109	134
2011	3	134	135
2011	4	111	136
2011	5	132	137
2011	6	144	138
2011	7	118	139
2011	8	139	140
2011	9	127	141
2011	10	122	142
2011	11	127	143
2011	12	116	144
2012	1	101	145
2012	2	98	146
2012	3	115	147
2012	4	129	148
2012	5	138	149
2012	6	86	150
2012	7	89	151
2012	8	86	152
2012	9	83	153
2012	10	93	154
2012	11	116	155
2012	12	76	156
2013	1	85	157
2013	2	83	158
2013	3	78	159
2013	4	128	160
2013	5	98	161
2013	6	96	162
2013	7	68	163
2013	8	55	164
2013	9	63	165
2013	10	63	166
2013	11	84	167
2013	12	48	168
2014	1	53	169
2014	2	60	170
2014	3	64	171
2014	4	63	172
2014	5	65	173
2014	6	42	174
2014	7	56	175
2014	8	41	176
2014	9	54	177
2014	10	42	178
2014	11	46	179
2014	12	49	180
